name,series,brand,price,gender,made_in,movement,case_material,strap_material,glass,reference_number
Lacsote - Neocroc - 2001347,Neocroc,"
      Lacsote","EGP 5,900.00",Women,China,Quartz,Plastic,Silicone,Mineral,2001347
Lacoste - 12.12 Holiday - 2011280,12.12 Holiday,"
      Lacoste","EGP 5,900.00",Men,China,Quartz,Plastic,Silicone,Mineral,2011280
Lacoste - Mainsail - 2011362,Mainsail,"
      Lacoste","EGP 8,900.00",Men,Chona,Quartz,Stainless Steel,Silicone,Mineral,2011362
Lacoste - Mainsail - 2011360,Mainsail,"
      Lacoste","EGP 9,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011360
Lacoste - Boston - 2011379,Boston,"
      Lacoste","EGP 9,900.00",Men,China,Quartz,Stainless Steel,Leather,Mineral,2011379
Lacoste - Highkey - 2011357,Highkey,"
      Lacoste","EGP 7,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011357
Lacoste - Highkey - 2011359,Highkey,"
      Lacoste","EGP 8,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011359
Lacoste - Highkey - 2011356,Highkey,"
      Lacoste","EGP 8,500.00",Men,China,Quartz,Stainless Steel,Rubber,Mineral,2011356
Lacoste - Boston - 2011347,Boston,"
      Lacoste","EGP 10,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011347
Lacoste - Boston - 2011346,Boston,"
      Lacoste","EGP 10,900.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011346
Lacoste - Heritage - 2011327,Heritage,"
      Lacoste","EGP 10,500.00",Men,China,Quartz,Plated Stainless Steel,Rubber,Mineral,2011327
Lacoste - Lisbon - 2011325,Lisbon,"
      Lacoste","EGP 8,500.00",Men,China,Quartz,Stainless Steel,Stainless Steel,Mineral,2011325
Lacoste - 12. 12 - 2011317,12. 12,"
      Lacoste","EGP 5,900.00",Unisex,China,Quartz,Plastic,Silicone,Mineral,2011317
